name,description,era,what_happened,question_variations
"King Dutugemunu","Legendary warrior king who unified Sri Lanka and defeated Tamil ruler Elara.","2nd century BC","• Born in Ruhuna|• Led campaign to free island from Elara|• Won battle near Anuradhapura|• Constructed Ruwanwelisaya|• Unified the country.","Who was King Dutugemunu?|Tell me about Dutugemunu|Explain King Dutugemunu|Story of King Dutugemunu|History of Dutugemunu?"
"King Saddhatissa","Younger brother of Dutugemunu, known for peace, irrigation works, and temple construction.","2nd century BC","• Succeeded Dutugemunu|• Maintained unity in kingdom|• Built stupas and reservoirs|• Promoted Buddhism.","Who was King Saddhatissa?|Tell me about Saddhatissa|Explain King Saddhatissa|Story of Saddhatissa|History of King Saddhatissa?"
"King Valagamba","A king known for losing the throne, living in exile, regaining power, and building Abhayagiriya.","103 BC / 89–77 BC","• Faced South Indian invasion|• Lived 14 years in hiding|• Reclaimed throne|• Built Abhayagiriya|• Strengthened Buddhism.","Who was King Valagamba?|Tell me about Valagamba|Explain King Valagamba|Story of King Valagamba|History of Valagamba?"
"King Mahasena","A controversial king later remembered as a great builder of tanks and reservoirs.","276–303 AD","• First opposed Mahavihara monks|• Later reconciled|• Built Minneriya Tank|• Expanded irrigation greatly|• Developed agriculture.","Who was King Mahasena?|Tell me about Mahasena|Explain King Mahasena|Story of King Mahasena|History of Mahasena?"
"King Dhatusena","A historic king known for Kala Wewa, Avukana Buddha Statue, and dramatic death at hands of his son Kassapa.","455–473 AD","• Built massive Kala Wewa reservoir|• Constructed Avukana Buddha|• Killed by his son Kassapa I|• Story linked with Sigiriya.","Who was King Dhatusena?|Tell me about Dhatusena|Explain King Dhatusena|Story of King Dhatusena|History of King Dhatusena?"
"King Sena & Guttika","Two South Indian horse traders who seized the throne of Anuradhapura and ruled for 22 years.","237–215 BC","• Originated as horse traders from South India|• Overthrew King Suratissa|• Ruled Anuradhapura together as joint kings|• Introduced foreign administrative practices|• Eventually defeated by Asela who reclaimed the throne.","Who were Sena and Guttika?|Explain Sena & Guttika|Tell me about Sena and Guttika|How did Sena & Guttika rule Sri Lanka?|History of Sena Guttika?"
"King Elara","A Tamil king celebrated for justice and fairness who ruled Anuradhapura peacefully for 44 years.","205–161 BC","• Came from South India|• Defeated King Asela|• Known for strict justice and fairness|• Maintained peace for decades|• Defeated in battle by King Dutugemunu.","Who was King Elara?|Tell me about Elara|Explain King Elara|What happened during Elara's rule?|Story of King Elara?"
"King Gajabahu I","A powerful ruler known for invading South India and rescuing prisoners, symbolizing strength and sovereignty.","114–136 AD","• Known for immense physical strength|• Invaded South India to rescue Sri Lankan captives|• Strengthened Buddhist culture|• Repaired irrigation works.","Who was King Gajabahu?|Tell me about Gajabahu I|Explain King Gajabahu|Story of King Gajabahu|History of Gajabahu I?"
"King Mahinda IV","A king from the Anuradhapura period known for religious devotion and construction works.","956–972 AD","• Strengthened Buddhist monasteries|• Built temples and alms halls|• Promoted learning and cultural development.","Who was King Mahinda IV?|Tell me about Mahinda IV|Explain King Mahinda IV|Story of Mahinda IV|History of King Mahinda IV?"
"King Parakramabahu I","The greatest ruler of Polonnaruwa, famous for Parakrama Samudraya and unifying Sri Lanka.","1153–1186 AD","• Unified the island after years of conflict|• Built Parakrama Samudraya|• Reformed military and administration|• Built massive irrigation systems|• Encouraged literature and arts.","Who was Parakramabahu I?|Tell me about Parakramabahu the Great|Explain Parakramabahu I|Story of King Parakramabahu|History of Parakramabahu?"
"King Parakramabahu II","A great literary king known for 'Kavisilumina' and defending the kingdom from foreign threats.","1236–1271 AD","• Strengthened Dambadeniya Kingdom|• Wrote literary works including 'Kavisilumina'|• Repelled Kalinga Magha invasions|• Promoted Buddhism.","Who was Parakramabahu II?|Tell me about Parakramabahu II|Explain King Parakramabahu II|Story of Parakramabahu II|History of Parakramabahu II?"
"King Nissanka Malla","A Polonnaruwa king known for extravagant inscriptions, economic reforms, and claiming descent from Kalinga.","1187–1196 AD","• Emphasized justice and fairness|• Built Rankot Vihara and Nissanka Latha Mandapaya|• Attempted economic stabilization|• Left detailed stone inscriptions.","Who was Nissanka Malla?|Tell me about Nissanka Malla|Explain King Nissanka Malla|Story of Nissanka Malla|History of King Nissanka Malla?"
"King Buwanekabahu IV","One of the earliest kings of Gampola, responsible for temple construction and stabilizing rule.","1341–1351 AD","• Founded Gampola Kingdom|• Built temples including Lankatilaka|• Promoted Buddhist revival|• Strengthened upland administration.","Who was Buwanekabahu IV?|Tell me about King Buwanekabahu IV|Explain Buwanekabahu IV|History of Buwanekabahu IV|Story of King Buwanekabahu IV?"
"King Buwanekabahu VI","Known as Sapumal Kumaraya, remembered for Jaffna conquest and rise to the Kotte throne.","1470–1480 AD","• Originally a prince under Parakramabahu VI|• Conquered Jaffna|• Became king in Kotte|• Strengthened administration and trade.","Who was Buwanekabahu VI?|Tell me about Buwanekabahu VI|Explain King Buwanekabahu VI|Story of Sapumal Kumaraya|History of Buwanekabahu VI?"
"King Sri Vikrama Rajasinha","Last king of Sri Lanka whose reign ended with British annexation in 1815.","1798–1815","• Built Kandy Lake|• Faced internal rebellion and colonial pressure|• Signed Kandyan Convention under force|• Marked end of monarchy.","Who was Sri Vikrama Rajasinha?|Tell me about Sri Vikrama Rajasinha|Explain last king of Sri Lanka|History of Sri Vikrama Rajasinha|Story of King Sri Vikrama?"
"King Vijayabahu I","The king who freed Sri Lanka from Chola rule and restored sovereignty.","1055–1110 AD","• Raised rebellion from Ruhuna|• Defeated Cholas|• Restored Buddhist monasteries|• Rebuilt Polonnaruwa as capital.","Who was Vijayabahu I?|Tell me about Vijayabahu I|Explain King Vijayabahu|History of Vijayabahu I|Story of King Vijayabahu?"
"King Vijayabahu III","Founder of Dambadeniya Kingdom who restored Buddhist texts and stability.","1220–1224 AD","• Brought sacred texts back to safety|• Strengthened Buddhist order|• Established new capital at Dambadeniya.","Who was Vijayabahu III?|Tell me about Vijayabahu III|Explain King Vijayabahu III|History of Vijayabahu III|Story of Vijayabahu III?"
"King Buvanekabahu I","A medieval king known for political alliances and strengthening coastal trade.","1271–1283 AD","• Ruled from Yapahuwa|• Protected Tooth Relic|• Maintained diplomatic ties with other nations|• Strengthened trade networks.","Who was Buvanekabahu I?|Tell me about Buvanekabahu I|Explain King Buvanekabahu I|History of Buvanekabahu I|Story of King Buvanekabahu I?"
"King Rajasinghe I","A powerful ruler of Sitawaka known for military expansion and conflict with Portuguese.","1581–1593","• Expanded Sitawaka territory|• Fought Portuguese successfully|• Known for military strength|• Faced internal strife in later years.","Who was King Rajasinghe I?|Tell me about Rajasinghe I|Explain King Rajasinghe I|History of Rajasinghe I|Story of King Rajasinghe?"
"King Senarath","A Kandyan king who consolidated the kingdom after Portuguese threats.","1604–1635","• Married Dona Catherina|• Protected Kandyan lands|• Faced multiple invasions|• Stabilized succession.","Who was King Senarath?|Tell me about King Senarath|Explain Senarath|History of King Senarath|Story of King Senarath?"
"King Rajasinghe II","Kandyan king who fought Dutch and Portuguese and signed the crucial Kandyan–Dutch treaty.","1635–1687","• Defeated Portuguese armies|• Formed alliance with Dutch|• Regained coastal territories temporarily|• Faced betrayal by Dutch later.","Who was King Rajasinghe II?|Tell me about Rajasinghe II|Explain King Rajasinghe II|History of Rajasinghe II|Story of King Rajasinghe II?"
"King Vimaladharmasuriya I","A national hero who revived Buddhism and resisted Portuguese rule successfully.","1590–1604","• Won Battle of Danture|• Brought Tooth Relic to Kandy|• Strengthened Buddhism|• Rebuilt administration.","Who was Vimaladharmasuriya I?|Tell me about Vimaladharmasuriya|Explain King Vimaladharmasuriya I|History of Vimaladharmasuriya I|Story of King Vimaladharmasuriya?"
"King Wimaladharmasuriya II","A later Kandyan king known for rebuilding temples and maintaining diplomacy.","1687–1707","• Repaired sacred sites|• Renewed ties with Buddhist countries|• Strengthened Kandyan rule during peaceful era.","Who was Wimaladharmasuriya II?|Tell me about King Wimaladharmasuriya II|Explain Wimaladharmasuriya II|History of Wimaladharmasuriya II|Story of King Wimaladharmasuriya II?"
"King Sri Vijaya Rajasinha","A South Indian Nayakkar king known for cultural patronage and religious contributions.","1739–1747","• Promoted Buddhism strongly|• Built temples and monastic structures|• Strengthened ties with Siam (Thailand)|• Continued Nayakkar influence.","Who was Sri Vijaya Rajasinha?|Tell me about Sri Vijaya Rajasinha|Explain King Sri Vijaya Rajasinha|History of Sri Vijaya Rajasinha|Story of Sri Vijaya Rajasinha?"
"King Kirthi Sri Rajasinghe","A major Nayakkar ruler remembered for Buddhist revival and inviting Siamese monks to reestablish ordination.","1747–1782","• Restored higher ordination|• Strengthened sangha discipline|• Built temples including Degaldoruwa|• Maintained peaceful rule.","Who was Kirthi Sri Rajasinghe?|Tell me about King Kirthi Sri|Explain Kirthi Sri Rajasinghe|History of Kirthi Sri Rajasinghe|Story of Kirthi Sri King?"
"Trade Relations with Ancient Rome","Sri Lanka (then Taprobane) became a major trade hub for Romans, Arabs, and Greeks due to its strategic Indian Ocean position","1st century AD","• Known as Taprobane in Roman records|• Romans sought Sri Lankan gems, pearls, spices, and elephants|• Maritime trade flourished through ports like Mantai|• Roman coins discovered across Sri Lanka confirm strong contact|• Sri Lankan cinnamon became prized luxury in Roman Empire|• Contributed to economic prosperity and cross-cultural influence","What was Sri Lanka’s trade with Rome?|Tell me about Taprobane and Rome|Explain ancient trade between Sri Lanka and Roman Empire|How did Romans trade with Sri Lanka?"
"Mahavamsa Chronicle","One of the oldest and most detailed historical chronicles in Asia, written by Buddhist monks","5th century AD","• Composed by monk Mahanama of Mahavihara|• Records history from arrival of Vijaya to King Mahasena|• Combines history, religion, and royal achievements|• Considered sacred text for Buddhist monks|• Provides details about ancient kings, wars, and construction|• Later extended by Culavamsa creating continuous historical record","What is the Mahavamsa Chronicle?|Tell me about Mahavamsa|Explain Sri Lankan historical chronicle Mahavamsa|Why is Mahavamsa important?"
"Panduwasdeva and the Princess Unmada Chithra","Legendary early royal story of prophecy, fear, and hidden prince","504–474 BC","• Princess Unmada Chithra prophesied to give birth to child who would destroy kingdom|• King Panduwasdeva imprisoned her in a tower|• She gave birth to Prince Pandukabhaya secretly|• Prince grew in hiding and later claimed throne|• Symbol of destiny and ancient prophecy in Sri Lankan folklore","Who was Unmada Chithra?|Tell me the story of Pandukabhaya and Unmada Chithra|Explain the legend of Unmada Chithra|What happened in Panduwasdeva’s time?"
"Prince Saliya and Asokamala","A romantic legend of love between prince and commoner","2nd century BC","• Prince Saliya, son of King Dutugemunu, fell in love with low-caste maiden Asokamala|• Refused the throne to marry her|• Their love is celebrated in Sri Lankan folklore|• Symbol of true love beyond status and power|• Represented humanity and moral courage","Who were Saliya and Asokamala?|Tell me the story of Prince Saliya|Explain the legend of Saliya and Asokamala|What is the love story of Saliya?"
"Sandahiru Seya Construction","Modern massive stupa built to honor war heroes and preserve Buddhist heritage","2009–2021","• Construction began after end of Sri Lankan civil war|• Built to honor fallen soldiers and restore spiritual unity|• 282-feet tall, inspired by ancient stupas|• Opened by President Gotabaya Rajapaksa|• Symbol of national tribute and peace","What is Sandahiru Seya?|Tell me about Sandahiru Seya construction|Explain modern stupa Sandahiru Seya|Why was Sandahiru Seya built?"
"Rajarata Civilization","Center of early Sri Lankan hydraulic and urban civilization","4th century BC – 11th century AD","• Covered northern heartland including Anuradhapura and Polonnaruwa|• Engineered vast tanks and canals|• Home to great kings, monasteries, and massive stupas|• Cradle of Sri Lankan civilization and Buddhist learning|• Declined after invasions and malaria spread","What is Rajarata?|Tell me about Rajarata civilization|Explain ancient Rajarata|Where was Rajarata located?"
"Rise of Polonnaruwa","Golden period of architectural and irrigation advancements under kings like Parakramabahu","1055–1236 AD","• Became capital after fall of Anuradhapura|• King Parakramabahu I expanded massive irrigation projects|• Built Parakrama Samudra, Rankoth Vehera, Vatadage|• King Nissanka Malla added religious monuments|• Era known for prosperity, military success, and art","What is the Polonnaruwa era?|Tell me about Polonnaruwa Kingdom|Explain the rise of Polonnaruwa|Who ruled Polonnaruwa?"
"Kalaniya Temple Legend","Ancient Buddhist temple blessed by Buddha’s visit according to tradition","5th century BC – Present","• Believed Buddha visited Kelaniya during 3rd visit to Sri Lanka|• Known for beautiful murals depicting history|• Kings often restored temple after invasions|• Symbol of peace and Buddhist devotion|• Important pilgrimage site for centuries","What is Kelaniya Temple story?|Tell me about Kelaniya Raja Maha Viharaya|Explain Buddha’s visit to Kelaniya|Why is Kelaniya Temple important?"
"Battle of Randeniwela","Famous battle where Sinhalese forces defeated Portuguese using strategic warfare","1630","• Led by King Senarath and Prince Maha Astana (Rajasinghe II)|• Portuguese heavily armed but unfamiliar with terrain|• Sinhalese ambushed them in rainy marshland|• Massive defeat for Portuguese|• Turning point in resistance against colonization","What was the Battle of Randeniwela?|Tell me about Randeniwela battle|Who won Randeniwela battle?|Explain why Randeniwela was important"
"Kotte Kingdom","A powerful kingdom controlling western Sri Lanka before fall to Portuguese","1412–1597","• Founded by King Parakramabahu VI|• Last kingdom to unify entire island under one rule|• Flourished in literature and art (Golden Era of poetry)|• Fell due to internal betrayal and Portuguese influence|• Final ruler Don Juan Dharmapala ceded kingdom to Portugal","What is Kotte Kingdom?|Tell me about Kingdom of Kotte|Explain history of Kotte|Who ruled Kotte Kingdom?"
"Arrival of Dutch","Dutch seized Sri Lanka from Portuguese after long battles","1638–1796","• Kandyan kings invited Dutch to expel Portuguese|• Dutch took over coastal areas|• Built forts, introduced Roman-Dutch law|• Controlled cinnamon monopoly|• Eventually replaced by British in 1796","What was Dutch arrival in Sri Lanka?|Tell me about Dutch rule|How did Dutch defeat Portuguese?|Explain Dutch period"
"British Capture of Kandy","Final step in British takeover of whole Sri Lanka","1815","• British signed Kandyan Convention with local nobles|• Promised to protect Buddhism but later violated terms|• Last native kingdom ended|• British became sole rulers of island","How did British capture Kandy?|Tell me about Kandyan Convention|Explain fall of Kandy Kingdom|What happened in 1815?"
"Wariyapola Sri Sumangala","Monk who protected national pride by removing British flag in 1815","1815","• During British takeover, monk removed Union Jack in protest|• Hoisted Sinhalese flag instead|• Symbol of resistance and patriotism|• Remembered as fearless monk who defied colonial rule","Who was Wariyapola Sri Sumangala?|Tell me about Sri Sumangala Thera|Explain the flag incident of 1815|Why is Sri Sumangala important?"
"Kurunegala Kingdom","Short-lived medieval kingdom with elephant-shaped rock landmark","13th century AD","• Capital briefly moved to Kurunegala|• Rock ‘Ethagala’ resembles crouching elephant|• Kings like Bhuvanaikabahu II ruled|• Transition point between Yapahuwa and Gampola kingdoms","What is Kurunegala Kingdom?|Tell me about Kurunegala era|Explain history of Kurunegala Kingdom|Who ruled Kurunegala?"
"Elephant Fighting Tradition","Ancient military and ceremonial use of elephants in Sri Lanka","Since 3rd century BC","• Elephants used in battles, royal events, temple processions|• Highly trained war elephants used by kings like Dutugemunu|• Symbol of power and prestige|• Played major role in historic warfare","Explain Sri Lankan war elephants|Tell me about elephants in history|How were elephants used in wars?|What is elephant fighting tradition?"
"Lankapura Expedition to Cambodia","Sri Lankan military expedition mentioned in Cambodian inscriptions","12th century AD","• Khmer inscriptions mention prince ‘Sangrama’ from Lanka|• Helped Khmer king in battles|• Shows Sri Lanka’s regional influence|• Rare example of overseas military mission","What was Lankapura Expedition?|Tell me about Sri Lankan mission to Cambodia?|Explain Sri Lanka-Khmer connection|Did Sri Lanka send armies abroad?"
"Pandyan Invasion of Sri Lanka","Repeated invasions by South Indian Tamil king Pandyans","1st century BC – 13th century AD","• Pandyans invaded Anuradhapura many times|• Took treasures, elephants, and sometimes throne|• Major invasions during Magha’s time devastated Rajarata|• Led to decline and shift of capitals","What were Pandyan invasions?|Tell me about South Indian invasions of Sri Lanka|Explain Pandyan rule in Sri Lanka|When did Pandyans invade?"
"Arhat Sanghamitta’s Arrival","Arrival of Sanghamitta Theri bringing sacred Bodhi sapling","249 BC","• Daughter of Emperor Ashoka|• Brought southern branch of Bodhi tree|• Planted in Anuradhapura|• One of the oldest historically recorded trees|• Strengthened Buddhist Order in Sri Lanka","Who was Sanghamitta?|Tell me about arrival of Bodhi tree|Explain Bodhi tree story|What happened when Sanghamitta came?"
"Establishment of Abhayagiri Vihara","Formation of major Buddhist monastic complex with unique traditions","1st century BC","• Built by King Valagamba|• Became center of learning and debate|• Rivalled Mahavihara and Jetavana monasteries|• Hosted monks from various regions|• Played role in spreading Buddhism abroad","What is Abhayagiri Vihara?|Tell me about Abhayagiri monks|Explain Abhayagiri history|Why was Abhayagiri important?"
"King Mahasen’s Reforms","Reign of king known for irrigation, religious shifts, and great constructions","276–303 AD","• Built Minneriya Tank, Kala Wewa|• Initially supported Abhayagiri sect leading to conflict|• Later reconciled Buddhist orders|• Known as greatest tank builder in Sri Lanka","Who was King Mahasen?|Tell me about Mahasen’s achievements|Explain Mahasen’s irrigation works|Why is Mahasen important?"
"Ravana – Legend of Lanka","Ancient mythical king of Lanka known from the Ramayana, blending folklore, history, and cultural memory","Pre-historic / Legendary","• Ravana ruled Lanka as a powerful emperor in legend|• Known for mastery in astrology, Ayurveda, and flying machines (Dandu Monara)|• His abduction of Sita sparked the Ramayana war|• Believed to have had advanced knowledge beyond his era|• Some sites in Sri Lanka like Ravana Ella linked to the legend","Who was Ravana in Sri Lanka?|Tell me the story of Ravana|Explain Ravana legend|What is Lanka in Ramayana?"
"Dedigama Kota Vehera","Large stupa with unique double-shell design linked to King Parakramabahu I","12th century AD","• Believed to be birthplace of Parakramabahu I|• Excavated to reveal special inner chamber|• Houses relics and ancient offerings|• Example of advanced stupa engineering","What is Dedigama Kota Vehera?|Tell me about Kota Vehera|Explain Dedigama stupa|Why is Kota Vehera important?"
"Kataragama Skanda Cult","Ancient multi-religious worship tradition of God Kataragama","Pre-historic – Present","• Worshipped by Buddhists, Hindus, Muslims, and Veddas|• Shrine believed to be over 2000 years old|• Annual Esala festival attracts thousands|• Symbol of unity among communities","What is Kataragama shrine?|Explain cult of God Kataragama|Tell me about Kataragama history|Why do people worship Kataragama?"
"Mannar Pearl Fishery","World-famous ancient pearl harvesting industry","1st century AD – 19th century","• Mannar seas held rich pearl beds|• Attracted Arabs, Indians, Europeans|• Pearls traded across Asia and Europe|• British later controlled fishery with strict regulations|• Declined due to overfishing and natural changes","What is Mannar pearl fishery?|Tell me about Sri Lankan pearl history|Explain Mannar pearls|Why was Mannar famous?"
"King Walagamba’s First Reign","Short rule of Valagamba before South Indian invasion","103 BC","• Valagamba became king but soon faced Tamil invasion|• Forced to flee Anuradhapura|• Lived in hiding for 14 years|• Eventually returned to reclaim throne","What happened to Walagamba’s first reign?|Explain first rule of Valagamba|Why did Walagamba flee?|Tell me about Valagamba’s early reign"
"Mahiyangana Stupa","First stupa in Sri Lanka marking Buddha’s earliest visit","543 BC (traditional)","• Built at site of Buddha’s first visit to subdue Yakkas|• Later enlarged by kings|• Houses sacred relics|• Important pilgrimage site","What is Mahiyangana Stupa?|Explain Buddha’s first visit|Tell me about Mahiyangana temple|Why is Mahiyangana important?"
"King Illangasinghe","A lesser-known ancient king mentioned in early chronicles","4th century AD","• Ruled a short period during political instability|• Focused on maintaining monasteries|• Known for minor irrigation works|• Historical mentions found in Mahavamsa","Who was King Illangasinghe?|Tell me about Illangasinghe|Explain his reign|When did Illangasinghe rule?"
"Jetavana Monastery","One of the tallest ancient brick structures in the world","3rd century AD","• Built by King Mahasena|• Served as center of Abhayagiri monks|• Jetavana Stupa stands 122m originally|• Important monastic university in Anuradhapura","What is Jetavana Monastery?|Explain Jetavana Stupa|Tell me about Jetavanaramaya|Why is Jetavana important?"
"Horse Culture in Ancient Sri Lanka","Horses used in wars, trade, and royal prestige","Since 300 BC","• Horses imported from Arabia and India|• Used by elite cavalry units|• Symbol of status for royalty|• Played role in warfare with South Indian kingdoms","Explain horse usage in ancient Sri Lanka|Tell me about ancient cavalry|How did Sri Lankans use horses?|What is Sri Lankan horse history?"
"Sapumal Kumaraya’s Jaffna Expedition","Military campaign led by Sapumal Kumaraya to capture Jaffna Kingdom","1450 AD","• General of King Parakramabahu VI|• Led successful invasion of Jaffna|• Ruled Jaffna for several years|• Strengthened Kotte control over north","Who was Sapumal Kumaraya?|Tell me about Jaffna expedition|Explain Sapumal’s victory|When was Jaffna captured?"
"Pandukabhaya’s City Planning","Early urban planning innovations introduced by King Pandukabhaya","4th century BC","• First to establish Anuradhapura as organized capital|• Marked boundaries, cemeteries, markets|• Built reservoirs like Basawakkulama|• Introduced administrative sectors","What did Pandukabhaya build?|Explain Pandukabhaya’s city plan|Tell me about early Anuradhapura|Why is Pandukabhaya important?"
"Battle of Mulleriyawa","Fierce battle where Sitawaka forces crushed Portuguese","1562","• Led by Tikiri Bandara (later Rajasinghe I)|• Portuguese suffered heavy losses|• Boosted Sitawaka’s dominance|• One of worst defeats for Portuguese in Asia","What was Battle of Mulleriyawa?|Tell me about Sitawaka victory|Explain Mulleriyawa battle|Who won Mulleriyawa?"
"Rise of Sitawaka Kingdom","Powerful kingdom resisting foreign powers","1521–1593","• Formed after Vijayabahu VI’s sons split Kotte Kingdom|• Led by Mayadunne and courageous Rajasinghe I|• Strong military, resisted Portuguese|• Known for heroism and warfare","What is Sitawaka Kingdom?|Tell me about Sitawaka era|Explain rise of Sitawaka|Who ruled Sitawaka?"
